Justin Jefferson,13,142,99,1500,6
Tyreek Hill,13,139,100,1460,6
Davante Adams,13,142,82,1247,12
Stefon Diggs,13,132,94,1239,10
A.J. Brown,13,103,65,1020,10
Jaylen Waddle,13,93,59,1003,6
Tyler Lockett,14,108,78,964,8
CeeDee Lamb,13,117,74,961,6
Terry McLaurin,13,98,62,945,3
DK Metcalf,14,119,79,924,6
Amon-Ra St. Brown,12,109,82,898,6
Chris Olave,12,98,60,887,3
Amari Cooper,13,109,63,874,7
Christian Kirk,13,106,67,874,7
Garrett Wilson,13,101,63,868,4
Tee Higgins,13,86,60,861,5
Ja'Marr Chase,9,97,64,821,7
Cooper Kupp,9,98,75,812,6
Mike Evans,12,98,59,805,3
DeVonta Smith,13,95,66,775,5
Brandon Aiyuk,14,89,60,774,7
JuJu Smith-Schuster,12,82,61,762,3
Michael Pittman Jr.,12,107,76,755,2
Donovan Peoples-Jones,13,80,53,751,1
Chris Godwin,11,108,73,702,2
Gabe Davis,12,70,38,696,6
Courtland Sutton,12,89,52,688,1
Joshua Palmer,12,92,61,665,3
Tyler Boyd,13,66,45,655,4
Zay Jones,12,98,68,655,2
DeAndre Hopkins,7,75,56,653,3
Diontae Johnson,13,113,67,647,0
Adam Thielen,13,91,63,645,4
Mike Williams,9,66,44,626,4
Allen Lazard,11,75,45,620,5
Deebo Samuel,12,92,54,612,2
Darius Slayton,12,55,35,608,2
Marquez Valdes-Scantling,13,61,34,606,1
DJ Moore,13,91,46,605,4
Jakobi Meyers,10,66,50,593,3
George Pickens,13,65,40,590,2
Mack Hollins,13,76,47,588,3
Jerry Jeudy,11,68,42,587,6
Marquise Brown,8,80,53,565,3
Curtis Samuel,13,79,54,556,3
Drake London,13,81,47,533,4
Brandin Cooks,10,71,44,520,1
Alec Pierce,12,60,32,510,2
Parris Campbell,13,68,50,497,3
Darnell Mooney,12,61,40,493,2
Noah Brown,12,52,34,484,1
Nico Collins,10,66,37,481,2
Olamide Zaccheaus,13,44,32,478,2
DeAndre Carter,13,55,40,466,3
DeVante Parker,12,40,25,460,1
Corey Davis,10,48,26,460,2
Chris Moore,12,51,37,438,2
Josh Reynolds,10,52,34,427,3
Chase Claypool,13,72,44,422,1
Rondale Moore,8,56,41,414,1
Marvin Jones Jr.,12,58,33,407,2
Robert Woods,13,68,38,406,1
Christian Watson,10,40,25,401,7
Kalif Raymond,13,48,34,401,0
Keenan Allen,6,49,34,400,2
Demarcus Robinson,13,56,38,390,1
Marquise Goodwin,12,37,27,387,4
Isaiah McKenzie,12,56,38,380,4
Devin Duvernay,13,46,35,378,3
Ben Skowronek,13,58,38,373,0
Nick Westbrook-Ikhine,13,41,22,370,3
Trent Sherfield,13,43,26,362,2
Richie James,13,47,38,361,3
Nelson Agholor,12,45,30,359,2
Treylon Burks,8,37,25,359,1
Elijah Moore,12,53,28,351,1
Randall Cobb,9,40,26,349,1
Terrace Marshall Jr.,10,35,19,346,1
Allen Robinson II,10,52,33,339,3
Jauan Jennings,13,48,30,339,1
Michael Gallup,10,55,30,337,3
Greg Dortch,12,39,34,324,2
Quez Watkins,13,34,26,315,3
Romeo Doubs,9,50,31,314,3
Kendall Hinton,11,31,24,311,0
DJ Chark,7,37,20,306,3
K.J. Osborn,13,57,35,300,3
Mecole Hardman,8,34,25,297,4
Rashod Bateman,6,28,15,285,2
Julio Jones,8,39,22,284,2
Equanimeous St. Brown,13,33,17,280,1
Kendrick Bourne,12,31,24,273,0
Jarvis Landry,8,38,25,272,1
Tre'Quan Smith,11,26,18,272,1
Robbie Anderson,13,41,19,269,1
Russell Gage,9,43,32,254,2
Damiere Byrd,10,17,10,241,2
Rashid Shaheed,8,15,12,239,1
Tutu Atwell,9,21,11,237,1
Jahan Dotson,8,35,19,233,5
Wan'Dale Robinson,6,31,23,227,1
Isaiah Hodgins,7,27,21,224,2
Justin Watson,13,24,13,221,2
Skyy Moore,13,28,18,212,0
Sammy Watkins,9,22,13,206,0
Dante Pettis,13,25,14,202,2
Ray-Ray McCloud III,14,22,13,201,1
Laviska Shenault Jr.,9,24,21,198,1
Phillip Dorsett,12,30,14,198,1
KhaDarel Hodge,13,19,12,197,1
David Bell,13,31,23,196,0
Hunter Renfrow,6,29,21,192,0
Shi Smith,13,31,16,185,1
Ashton Dulin,9,20,13,182,1
Van Jefferson,7,28,13,180,3
Scotty Miller,11,37,22,177,0
Denzel Mims,7,22,10,173,0
Michael Thomas,3,22,16,171,3
Trenton Irwin,6,15,10,169,2
KJ Hamler,7,14,7,165,0
Marquez Callaway,11,31,16,158,1
Jamal Agnew,11,24,18,155,3
Sterling Shepard,3,24,13,154,1
Tyquan Thornton,9,29,16,145,1
Zach Pascal,13,17,14,144,1
Dyami Brown,11,12,5,143,2
Tom Kennedy,7,16,8,141,0
Brandon Powell,13,22,18,135,0
DeSean Jackson,4,10,7,134,0
A.J. Green,11,38,19,128,1
Khalil Shakir,11,17,8,128,1
Cedrick Wilson Jr.,12,15,11,115,0
Braxton Berrios,13,25,16,107,0
Amari Rodgers,12,13,8,107,1
David Sills V,9,17,11,106,0
Breshad Perriman,9,17,8,101,1
River Cracraft,9,13,8,97,2
N'Keal Harry,4,6,5,93,1
Michael Bandy,10,21,10,89,0
Jalen Reagor,13,9,6,87,1
Keelan Cole,10,15,7,86,0
Samori Toure,7,10,5,82,1
Kyle Philips,4,13,8,78,0
Jalen Virgil,5,4,2,75,1
Kevin White,7,5,2,74,0
Cam Sims,13,16,7,73,0
Kadarius Toney,5,11,8,69,1
Jalen Guyton,3,4,2,64,0
Jake Kumerow,6,7,4,64,0
Marcus Johnson,10,16,6,63,0
James Proche II,11,12,8,62,0
Trent Taylor,13,10,6,62,0
Jamison Crowder,4,13,6,60,0
Mike Strachan,10,8,3,59,0
Dee Eskridge,10,13,7,58,0
Byron Pringle,7,7,5,57,1
Jeff Smith,10,6,4,57,0
Cody Hollister,11,5,3,54,0
Steven Sims,8,16,9,53,0
Kenny Golladay,8,10,4,51,0
Anthony Schwartz,11,10,4,51,0
Gunner Olszewski,12,6,4,50,0
Jameson Williams,2,3,1,41,1
Mike Thomas,10,10,2,38,0
Dax Milne,11,7,6,37,1
Andre Baccellia,6,7,5,32,0
Tim Jones,13,4,3,30,0
Jalen Nailor,11,4,2,28,0
Tyrie Cleveland,6,7,2,28,0
Chris Conley,5,4,1,27,0
Jaelon Darden,12,2,2,26,0
Velus Jones Jr.,8,5,3,24,1
Simi Fehoko,5,4,3,24,0
Dezmon Patmon,1,6,2,24,0
Andy Isabella,3,5,2,21,0
Tylan Wallace,8,6,3,21,0
Michael Woods II,7,5,2,21,0
Keke Coutee,6,1,1,20,0
Lil'Jordan Humphrey,6,4,2,20,0
Penny Hart,8,2,2,18,0
Keith Kirkwood,2,2,2,18,0
Cole Beasley,2,5,4,17,0
Juwann Winfree,3,4,1,17,0
Braylon Sanders,1,2,2,17,0
Dennis Houston,2,6,2,16,0
Ty Montgomery,1,4,3,15,1
Bryan Edwards,7,5,3,15,0
Quintez Cephus,4,3,2,15,0
Ihmir Smith-Marsette,7,4,1,15,0
Deonte Harty,4,2,2,13,0
Austin Trammell,2,4,2,13,0
Jalen Tolbert,8,3,2,12,0
Brandon Johnson,4,10,3,12,1
Miles Boykin,12,2,1,11,0
Danny Gray,10,7,1,10,0
KaVontae Turpin,13,2,1,9,0
Tyron Johnson,4,1,1,8,0
Maurice Alexander,4,1,1,7,0
Jalen Camp,2,1,1,7,0
C.J. Board,4,1,1,6,0
Jacob Harris,7,1,1,6,0
Jason Moore Jr.,6,2,1,5,0
Mason Kinsey,1,1,1,3,0
Montrell Washington,13,9,4,2,0
Cody White,1,1,1,2,0
Laquon Treadwell,3,1,1,1,0
John Brown,2,1,0,0,0
Chester Rogers,3,0,0,0,0
Rashard Higgins,3,0,0,0,0
James Washington,1,1,0,0,0
Andre Roberts,1,0,0,0,0
Tyler Johnson,2,0,0,0,0
Josh Gordon,2,1,0,0,0
Willie Snead IV,3,0,0,0,0
Lynn Bowden Jr.,1,0,0,0,0
Malik Turner,3,0,0,0,0
Alex Erickson,2,0,0,0,0
Javon Wims,1,0,0,0,0
Freddie Swain,1,0,0,0,0
Cornell Powell,3,0,0,0,0
Stanley Morgan,11,1,0,0,0
Trinity Benson,1,0,0,0,0
Dareke Young,10,0,0,0,0
Binjimen Victor,2,0,0,0,0
Matthew Slater,13,0,0,0,0
Cade Johnson,1,0,0,0,0
Pharoh Cooper,2,0,0,0,0
Stanley Berryhill,4,0,0,0,0
Kaylon Geiger,3,0,0,0,0
Kwamie Lassiter II,1,0,0,0,0
Raleigh Webb,9,0,0,0,0
Ethan Fernea,1,0,0,0,0
Marcus Kemp,3,0,0,0,0
Tay Martin,1,0,0,0,0
Lance McCutcheon,6,3,0,0,0
Dez Fitzpatrick,1,0,0,0,0
Tanner Gentry,3,1,0,0,0
Brandon Zylstra,2,0,0,0,0
Deven Thompkins,1,0,0,0,0
Britain Covey,13,0,0,0,0
DJ Turner,9,1,0,0,0
Racey McMath,1,4,0,0,0
Dan Chisena,2,0,0,0,0
Kirk Merritt,1,0,0,0,0
Jared Bernhardt,2,0,0,0,0
Frank Darby,2,0,0,0,0
Kyric McGowan,2,0,0,0,0