Travis Kelce,13,117,81,1039,12
T.J. Hockenson,13,91,62,697,4
Mark Andrews,12,92,58,671,5
Pat Freiermuth,12,82,53,630,2
George Kittle,12,64,46,593,6
Evan Engram,13,74,53,548,4
Dallas Goedert,9,52,43,544,3
David Njoku,10,61,48,523,3
Gerald Everett,12,73,48,490,2
Tyler Higbee,13,81,52,455,0
Dalton Schultz,11,62,41,430,3
Tyler Conklin,13,71,45,416,3
Noah Fant,14,53,42,414,3
Cole Kmet,13,50,35,408,5
Zach Ertz,10,69,47,406,4
Hunter Henry,13,42,28,406,2
Hayden Hurst,12,63,48,400,2
Robert Tonyan,13,56,45,372,1
Dawson Knox,12,50,37,368,3
Greg Dulcich,8,45,28,361,1
Kyle Pitts,10,59,28,356,2
Juwan Johnson,12,49,31,349,5
Austin Hooper,13,42,32,347,2
Cade Otton,12,50,36,337,2
Will Dissly,14,37,33,330,3
Jordan Akins,11,34,25,326,2
Chigoziem Okonkwo,13,31,21,320,2
Foster Moreau,11,46,25,316,2
Mike Gesicki,13,39,24,269,4
Kylen Granson,12,38,29,268,0
Isaiah Likely,12,37,22,236,2
Noah Gray,13,28,22,234,1
Logan Thomas,10,40,24,210,1
Jelani Woods,11,26,17,205,3
Jonnu Smith,12,32,22,200,0
Daniel Bellinger,9,26,24,195,2
Colby Parkinson,14,20,15,194,1
Harrison Bryant,13,35,25,193,1
Mo Alie-Cox,13,23,17,183,2
Ian Thomas,13,26,19,176,0
Darren Waller,5,24,16,175,1
Adam Trautman,11,19,16,173,1
Irv Smith Jr.,7,33,22,168,2
Cameron Brate,8,33,18,149,0
Brock Wright,13,16,13,141,1
Jake Ferguson,13,19,16,139,2
C.J. Uzomah,12,17,15,137,0
Tanner Hudson,11,15,10,132,0
Josh Oliver,13,17,11,130,2
O.J. Howard,12,21,9,119,2
Dan Arnold,13,11,8,118,0
Pharaoh Brown,12,20,12,117,0
Jack Stoll,13,13,10,117,0
Johnny Mundt,13,19,17,117,1
Eric Saubert,13,19,11,113,1
Jody Fortson,12,12,9,108,2
John Bates,12,22,14,108,1
Josiah Deguara,13,13,11,106,0
Connor Heyward,13,10,9,106,1
Ross Dwelley,12,5,3,105,1
Zach Gentry,13,20,16,104,0
Tommy Tremble,13,23,11,101,2
Peyton Hendershot,13,14,10,83,1
Grant Calcaterra,11,7,5,81,0
Ko Kieft,13,9,7,80,1
Anthony Firkser,7,7,6,79,0
Brevin Jordan,7,21,10,78,0
Durham Smythe,12,12,9,75,1
Parker Hesse,13,9,7,75,0
Trey McBride,12,17,12,74,0
Mitchell Wilcox,13,9,8,70,0
Quintin Morris,11,10,7,70,0
Giovanni Ricci,11,8,7,68,0
Taysom Hill,12,11,7,66,2
Armani Rogers,10,6,5,64,0
Tre' McKitty,13,15,9,62,0
Andrew Beck,9,6,3,59,0
Tyler Kroft,8,5,4,57,0
Donald Parham Jr.,2,4,3,53,0
Albert Okwuegbunam,6,11,7,50,0
Geoff Swaim,13,13,9,50,1
Lawrence Cager,5,9,5,49,1
James Mitchell,10,5,5,48,1
Eric Tomlinson,13,9,5,48,0
MyCole Pruitt,9,8,7,47,3
Stephen Sullivan,10,4,2,46,0
Chris Manhertz,13,8,6,42,0
Kendall Blanton,4,2,2,35,0
Brycen Hopkins,10,6,3,31,0
Luke Farrell,13,3,3,29,0
Trevon Wesco,12,4,2,26,0
Ben Ellefson,4,3,3,26,0
Tyler Davis,13,7,4,26,0
Ryan Griffin,11,6,3,24,0
Shane Zylstra,9,5,4,23,1
Cole Turner,6,9,2,23,0
Nick Vannett,5,4,3,22,0
Teagan Quitoriano,6,7,3,22,1
Marcedes Lewis,13,4,3,20,1
Kyle Rudolph,6,4,2,20,0
Jesper Horsted,11,4,3,19,0
Stone Smartt,4,5,4,17,0
Sean McKeon,9,3,2,11,0
Stephen Anderson,13,5,3,9,0
Maxx Williams,7,1,1,7,0
Tommy Sweeney,5,1,1,7,0
Mason Schreck,2,2,2,6,0
Richard Rodgers,10,3,1,4,0
Charlie Woerner,14,2,0,0,0
Jeremy Ruckert,8,1,0,0,0
Cethan Carter,1,0,0,0,0
Jacob Hollister,5,0,0,0,0
Nick Boyle,10,0,0,0,0
Roger Carter Jr.,1,0,0,0,0
Jared Pinkney,2,0,0,0,0
Tyree Jackson,4,0,0,0,0
Noah Togiai,2,1,0,0,0
Kevin Rader,10,0,0,0,0
Feleipe Franks,9,2,0,0,0
Hunter Long,5,0,0,0,0
J.P. Holtz,6,0,0,0,0
Devin Asiasi,10,2,0,0,0
Jesse James,2,0,0,0,0
Nikola Kalinic,3,0,0,0,0
Miller Forristall,4,1,0,0,0
Jake Tonges,3,1,0,0,0
Lucas Krull,1,0,0,0,0
Kenny Yeboah,6,0,0,0,0
Nick Muse,7,0,0,0,0
Matt Sokol,1,0,0,0,0
Tanner Conner,12,3,0,0,0